,ASIN,Dataset,new_filename,Category,Title,Remove
263,9774166981,Train,48,Travel,A Beirut Anthology: Travel Writing through the Centuries,0
193,538457708,Train,49,Business & Money,"Bundle: Records Management, 9th + Simulation",0
242,689808690,Train,50,Teen & Young Adult,I Am the Darker Brother: An Anthology of Modern Poems by African Americans,0
198,394749138,Train,51,History,Civil War Volumes 1-3 Box Set,1
217,545067707,Train,52,Reference,Grammar Tales Box Set: A Rib-Tickling Collection of Read-Aloud Books That Teach 10 Essential Rules of Usage and Mechanics,0
158,824826833,Train,53,Arts & Photography,Architecture of Bali: A Source Book of Traditional and Modern Forms (Latitude 20 Books),0
238,62352164,Train,54,Teen & Young Adult,"Divergent Series Ultimate Four-Book Box Set: Divergent, Insurgent, Allegiant, Four",1
14,140125280X,Train,55,Comics & Graphic Novels,Batman 75th Anniversary Box Set,0
111,321291387,Train,56,Literature & Fiction,The Longman Anthology of Drama and Theater: A Global Perspective,1
38,1607874512,Train,57,Test Preparation,TExES Social Studies 7-12 232 Book + Online,0
78,62329715,Train,58,Romance,Fifty First Times: A New Adult Anthology,0
152,B00JTNW0BQ,Train,59,"Crafts, Hobbies & Home",Learn Backyard Blacksmithing At Home 129 Books & Guides for Metal Working & Homesteading,0
145,1512148121,Train,60,"Cookbooks, Food & Wine",Low Carb Juicing Recipes and Low Carb Vitamix Recipes: 2 Book Combo (The Low Carb Bibles ),1
213,982320736,Train,61,Reference,The Responsive Guitar 2-book Boxed Set,1
247,62367153,Train,62,Children's Books,Warriors: The New Prophecy Box Set: Volumes 1 to 6: The Complete Second Series,1
29,804126321,Train,63,Test Preparation,Princeton Review MCAT Subject Review Complete Box Set: New for MCAT 2015 (Graduate School Test Preparation),1
81,615907512,Train,64,Romance,Esoterotica's First Anthology: Desire,0
208,393239691,Train,65,Politics & Social Sciences,Leadership: Essential Writings by Our Greatest Thinkers (Norton Anthology),0
222,415584892,Train,66,Reference,Translation Bundle Nottingham Uni: Introducing Translation Studies: Theories and Applications,0
104,393928292,Train,67,Literature & Fiction,The Norton Anthology of English Literature (Single-Volume 8th Edition),0
56,058228452X,Train,68,Science Fiction & Fantasy,Magical Realist Fiction: An Anthology,0
165,2897181710,Train,69,Parenting & Relationships,"Caillou, Toddler Essentials: 5 Books about Growing",1
9,1906838534,Train,70,Comics & Graphic Novels,The Lovecraft Anthology: Volume 1,0
18,1421550067,Train,71,Comics & Graphic Novels,Pokemon Adventures Red & Blue Box Set (set includes Vol. 1-7),1
42,147514576,Train,72,"Mystery, Thriller & Suspense",The Longmire Mystery Series Boxed Set Volumes 1-9 (Walt Longmire Mystery),1
191,1633690954,Train,73,Business & Money,HBR 20-Minute Manager Boxed Set (10 Books) (HBR 20-Minute Manager Series),1
143,B00XIZWWNC,Train,74,"Cookbooks, Food & Wine",Cast Iron Cookbook (3 Book Series),1
194,1611630576,Train,75,Law,An Anthology of Disability Literature,0
192,1285576322,Train,76,Business & Money,"Bundle: Keyboarding and Word Processing Essentials, Lessons 1-55, 19th +Keyboarding Pro DELUXE Online Lessons 1-55, 1 term (6 month) Printed Access Card",1
216,806318538,Train,77,Reference,The Royal Descents of 600 Immigrants to the American Colonies or the United States: Who Were Themselves Notable or Left Descendants Notable in American History. 2 Volumes as 1 book,0
92,240526015,Train,78,Humor & Entertainment,AVP 100 Bundle: Grammar of the Shot,0
117,393912191,Train,79,Literature & Fiction,The Norton Reader: An Anthology of Nonfiction (Shorter Thirteenth Edition),0
185,1860943489,Train,80,Science & Math,"Kinetic theory of gases, the: an anthology of classic papers with historical commentary (History of Modern Physical Sciences, 1)",0
168,812218817,Train,81,Self-Help,The Medieval Craft of Memory: An Anthology of Texts and Pictures (Material Texts),0
68,1481450301,Train,82,Science Fiction & Fantasy,Loosed upon the World: The Saga Anthology of Climate Fiction,0
131,486272753,Train,83,Literature & Fiction,Spoon River Anthology (Dover Thrift Editions),0
12,1937212106,Train,84,Comics & Graphic Novels,Power Bible: Bible Stories to Impart Wisdom - Complete Set (10 Books),0
35,1607146541,Train,85,Test Preparation,Kaplan MCAT Review: Complete 5-Book Series (Kaplan MCAT Complete Subject Review (5v)),1
127,393934772,Train,86,Literature & Fiction,The Norton Anthology of American Literature (Eighth Edition)  (Vol. B),0
98,1444339516,Train,87,Literature & Fiction,Roman Letters: An Anthology,0
25,1560977744,Train,88,Comics & Graphic Novels,The Complete Peanuts 1959-1962 Box Set,1
219,393933644,Train,89,Reference,"The Norton Anthology of Western Literature, Vol. 1",0
76,316212261,Train,90,Science Fiction & Fantasy,"The Parasol Protectorate Boxed Set: Soulless, Changeless, Blameless, Heartless and Timeless",0
47,441018238,Train,91,"Mystery, Thriller & Suspense",Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),0
197,1852076755,Train,92,History,Historic Maps of Bahrain 1817-1970 3 Map Box Set (Cambridge Archive Editions),0
166,1482242575,Train,93,Parenting & Relationships,"Reproduction Bundle: Vitrification in Assisted Reproduction, Second Edition (Reproductive Medicine and Assisted Reproductive Techniques Series) (Volume 3)",0
255,1452146985,Train,94,Children's Books,"Goodnight, Goodnight, Construction Site and Steam Train, Dream Train Board Books Boxed Set",1
52,345535529,Train,95,Science Fiction & Fantasy,"George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",1
252,62266934,Train,96,Children's Books,Learn to Read with Tug the Pup and Friends! Box Set 3: Levels Included: E-G (My Very First I Can Read),1
129,156005743,Train,97,Literature & Fiction,A Book of Luminous Things: An International Anthology of Poetry,0
110,618474773,Train,98,Literature & Fiction,Drama Essentials: An Anthology of Plays,0
45,1940430046,Train,99,"Mystery, Thriller & Suspense",The New Black: A Neo-Noir Anthology,0
178,1511986476,Train,100,Computers & Technology,"Bitcoin Box Set: Bitcoin Basics and Bitcoin Trading and Investing - The Digital Currency of the Future (bitcoin, bitcoins, litecoin, litecoins, crypto-currency) (Volume 3)",0
22,61782289,Train,101,Comics & Graphic Novels,Warriors Manga Box Set: Graystripe's Adventure (Warriors Manga: Graystripe's Trilogy),1
86,1512339334,Train,102,Romance,"Fix You, Books 1-3, The Complete Box Set: Bash and Olivia's Story",0
100,393912485,Train,103,Literature & Fiction,The Norton Anthology of English Literature (Ninth Edition)  (Vol. 2),0
4,545854415,Train,104,Comics & Graphic Novels,Trilogy Box Set (Star Wars: Jedi Academy),0
84,1937823431,Train,105,Romance,Christmas in Duke Street: An Anthology of Holiday Historical Romances,0
130,393977927,Train,106,Literature & Fiction,"The Norton Anthology of Modern and Contemporary Poetry, Volume 2: Contemporary Poetry",0
83,981711243,Train,107,Romance,EROS 369: An Anthology for Adults,0
184,1579248934,Train,108,Science & Math,"Consumer Math, Teacher's Edition, 2nd Edition (2 Books)",0
260,316261513,Train,109,Children's Books,Adventures from the Land of Stories Boxed Set: The Mother Goose Diaries and Queen Red Riding Hood's Guide to Royalty,1
103,60653027,Train,110,Literature & Fiction,"C. S. Lewis Signature Classics: Mere Christianity, The Screwtape Letters, A Grief Observed, The Problem of Pain, Miracles, and The Great Divorce (Boxed Set)",0
5,1421542420,Train,111,Comics & Graphic Novels,The Legend of Zelda Box Set,0
159,300203454,Train,112,Arts & Photography,"An Eames Anthology: Articles, Film Scripts, Interviews, Letters, Notes, and Speeches",0
64,1101898046,Train,113,Science Fiction & Fantasy,"FINAL FANTASY Box Set (FFVII, FFVIII, FFIX): Official Game Guides",0
27,1606994964,Train,114,Comics & Graphic Novels,Walt Disney's Mickey Mouse Collector's Box Set (Vol. 1-2)  (Walt Disney's Mickey Mouse),1
74,765374811,Train,115,Science Fiction & Fantasy,"Ender's Game Boxed Set I: Ender's Game, Ender's Shadow, Shadow of the Hegemon (The Ender Quintet)",1
237,7466536,Train,116,Sports & Outdoors,Cricket: a Modern Anthology,0
256,307982033,Train,117,Children's Books,Thomas' 123 Book (Thomas & Friends) (Pictureback(R)),0
206,631216979,Train,118,Politics & Social Sciences,Sports Ethics: An Anthology,0
234,019875194X,Train,119,Religion & Spirituality,Philosophy of Religion: A Guide and Anthology,0
154,1445488671,Train,120,"Crafts, Hobbies & Home",Gorgeously Gruesome Zombies (Scary Cute Boxsets),0
82,692257934,Train,121,Romance,Esoterotica's Second Anthology: Enflame,0
91,1570194130,Train,122,Humor & Entertainment,Old-Time Radio Thrilling Mysteries (10-Hour Collections) [BOX SET],0
77,B01604IT98,Train,123,Romance,Sing Coda Dominance: Submission Series Bundle #3,0
140,863565247,Train,124,Literature & Fiction,Victims of a Map: A Bilingual Anthology of Arabic Poetry,0
95,872207218,Train,125,Literature & Fiction,Anthology Of Classical Myth: Primary Sources in Translation,0
203,199946582,Train,126,Politics & Social Sciences,Exploring Ethics: An Introductory Anthology,0
259,1603204261,Train,127,Children's Books,"TIME For Kids Big Box Set of Why, How and What?",1
11,1606997696,Train,128,Comics & Graphic Novels,Tardi's WWI: It Was The War Of The Trenches/Goddamn This War Gift Box Set,1
239,670835765,Train,129,Teen & Young Adult,"Fun with Hieroglyphs: 24 Rubber Stamps, Hieroglyph Guidebook, Ink Pad (Box Set) (The Metropolitan Museum of Art)",0
2,1606998617,Train,130,Comics & Graphic Novels,The Complete Peanuts 1995-1998 Gift Box Set (Vol. 12)  (The Complete Peanuts),1
172,1561706124,Train,131,Self-Help,Power Thought Cards: A 64 Card Deck (Box Set),0
20,1632360381,Train,132,Comics & Graphic Novels,Attack on Titan: The Beginning Box Set (Volumes 1-4),0
28,1119101816,Train,133,Test Preparation,GMAT 2016 Official Guide Bundle,1
50,765370131,Train,134,"Mystery, Thriller & Suspense",Patrick Taylor Irish Country Boxed Set (Irish Country Books),1
70,098694842X,Train,135,Science Fiction & Fantasy,Therefore I Am - Digital Science Fiction Anthology 2,0
155,712357203,Train,136,"Crafts, Hobbies & Home",Pleasures of the Garden: A Literary Anthology,0
250,62367161,Train,137,Children's Books,Warriors: Power of Three Box Set: Volumes 1 to 6,1
201,1444335707,Train,138,Politics & Social Sciences,Analytic Philosophy: An Anthology,0
195,316227781,Train,139,Biographies & Memoirs,"The Last Lion Box Set: Winston Spencer Churchill, 1874 - 1965",1
232,373786484,Train,140,Religion & Spirituality,Mothers And Daughters: An Anthology: The Hair Ribbons\Unforgettable (Steeple Hill Fiction Steeple Hill),0
173,71835571,Train,141,Computers & Technology,"CEH Certified Ethical Hacker Bundle, Second Edition (All-in-One)",1
19,1421576066,Train,142,Comics & Graphic Novels,"One Piece Box Set 2: Skypiea and Water Seven, Volumes 24-46",0
132,B001LFTGIK,Train,143,Literature & Fiction,"Dr Seuss Collection 20 Books Set Pack (The Cat in the Hat, Green Eggs and Ham, Fox in Socks, One Fish Two Fish Red Fish Blue Fish, How the Grinch Stole Christmas!, Oh the Places You'll Go!, the Cat in the Hat Comes Back, Dr. Seuss' Abc, Dr. Seuss ..)",1
251,62360639,Train,144,Children's Books,"The Henry and Ribsy Box Set: Henry Huggins, Henry and Ribsy, Ribsy",1
34,1609786122,Train,145,Test Preparation,Kaplan MCAT Review Complete 5-Book Subject Review (Kaplan Test Prep),1
17,1421560747,Train,146,Comics & Graphic Novels,"One Piece Box Set: East Blue and Baroque Works, Volumes 1-23",1
190,130513544X,Train,147,Business & Money,"Bundle: Principles of Microeconomics (Looseleaf), 7th + Aplia(TM) Printed Access Card",0
196,824851641,Train,148,Biographies & Memoirs,"Sunny Skies, Shady Characters: Cops, Killers, and Corruption in the Aloha State (A Latitude 20 Book)",0
39,1607874156,Train,149,Test Preparation,"PRAXIS Special Education 0354/5354, 5383, 0543/5543 Book and Online",0
163,133988066,Train,150,Arts & Photography,"Scott Kelby's Digital Photography Boxed Set, Parts 1, 2, 3, 4, and 5",0
13,1401259987,Train,151,Comics & Graphic Novels,Deathstroke Vol. 1 Book & Mask Set,1
101,393919668,Train,152,Literature & Fiction,"The Norton Anthology of English Literature, The Major Authors (Ninth Edition)  (2 Volume Set)",0
236,1597754005,Train,153,Sports & Outdoors,Yellowstone and Grand Teton National Parks [Map Pack Bundle] (National Geographic Trails Illustrated Map),0
21,1421583348,Train,154,Comics & Graphic Novels,Naruto Box Set 3: Volumes 49-72 with Premium,1
246,547851510,Train,155,Teen & Young Adult,Dead Is In a Box boxed set,0
179,1514799839,Train,156,Computers & Technology,Thrift: The Ultimate 2 in 1 Box Set Guide to Making Money With Thrift Stores and Garage Sales in 60 Minutes or Less (Thrift Store - Thrifting - Make ... on Amazon - Selling on Ebay - Picking),0
254,140565485,Train,157,Children's Books,De Colores and Other Latin American Folksongs for Children (Anthology) (Spanish Edition),0
87,1582344345,Train,158,Humor & Entertainment,Hokum: An Anthology of African-American Humor,0
150,1927126614,Train,159,"Cookbooks, Food & Wine",100 Recipes from 100 Books: Special Collector's Edition (Original),0
244,525451641,Train,160,Teen & Young Adult,Lifelines: A Poetry Anthology Patterned on the Stages of Life,0
133,451530586,Train,161,Literature & Fiction,Spoon River Anthology: 100th Anniversary Edition (Signet Classics),0
0,1609330536,Train,162,Calendars,"13 Book Collection: Calendar Mysteries January Joker, February Friend, March Mischief, April Adventure, May Magic, June Jam, July Jitters, August Acrobat, September Sneakers, October Ogre, November Night, December Dog, New Year's Eve Thieves",1
215,1450855148,Train,163,Reference,Encyclopedia Britannica 6-Book Interactive Science Library,1
85,312947437,Train,164,Romance,"Plum Boxed Set 1, Books 1-3 (One for the Money / Two for the Dough / Three to Get Deadly) (Stephanie Plum Novels)",0
204,1405124784,Train,165,Politics & Social Sciences,Western Philosophy: An Anthology,0
113,1551115816,Train,166,Literature & Fiction,"The Broadview Anthology of Restoration and Early Eighteenth Century Drama, Concise edition",0
253,375834060,Train,167,Children's Books,The Black Stallion Adventures! (Box Set),0
97,1554812569,Train,168,Literature & Fiction,Miracles of the Virgin in Middle English: A Broadview Anthology of British Literature edition,0
121,692464328,Train,169,Literature & Fiction,Fucked Up Shit: A Mixtape Anthology,0
175,201734168,Train,170,Computers & Technology,"Computers & Typesetting, Volumes A-E Boxed Set",1
7,1606997874,Train,171,Comics & Graphic Novels,The Complete Zap Comix Boxed Set,1
119,809330571,Train,172,Literature & Fiction,The Will of a People: A Critical Anthology of Great African American Speeches,0
44,321195019,Train,173,"Mystery, Thriller & Suspense",The Longman Anthology of Detective Fiction,0
53,076536543X,Train,174,Science Fiction & Fantasy,"Mistborn Trilogy Boxed Set (Mistborn, The Hero of Ages, & The Well of Ascension)",1
67,765362430,Train,175,Science Fiction & Fantasy,"The Ender Quartet Boxed Set: Ender's Game, Speaker for the Dead, Xenocide, Children of the Mind (The Ender Quintet)",1
235,966369602,Train,176,Sports & Outdoors,The Orca Project: A Meeting of Nations : An Anthology,0
169,1512154202,Train,177,Self-Help,"NLP 2 in 1 BOX SET: NLP for Fast Weight Loss and  Success Secrets: Change Your Life with Neuro-Linguistic Programming (NLP, Success, Neuro-Linguistic Programming, Practical NLP) (Volume 3)",1
223,1602600155,Train,178,Christian Books & Bibles,Know Your Bible: All 66 Books Explained and Applied (VALUE BOOKS),0
66,1594747911,Train,179,Science Fiction & Fantasy,"William Shakespeare's Star Wars Trilogy: The Royal Imperial Boxed Set: Includes Verily, A New Hope; The Empire Striketh Back; The Jedi Doth Return; and an 8-by-34-inch full-color poster",0
170,992836123,Train,180,Self-Help,The Bumper Bundle Companion Workbook: 75 Quizzes and Exercises to Flex Your Modelling Muscles,0
58,812538366,Train,181,Science Fiction & Fantasy,"The Wheel of Time, Boxed Set I, Books 1-3: The Eye of the World, The Great Hunt, The Dragon Reborn",0
72,692509763,Train,182,Science Fiction & Fantasy,Far Orbit Apogee (Far Orbit Anthology Series) (Volume 2),0
63,804161380,Train,183,Science Fiction & Fantasy,The Legend of Zelda Boxed Set: Prima Official Game Guide,1
189,1508906114,Train,184,"Health, Fitness & Dieting","How to Get Abs: 2-in-1 Flat Stomach Boxed Set (Health, Flat Abs, How to Get Abs, How to Get Abs Fast)",1
199,1932033750,Train,185,History,NAPOLEONIC UNIFORMS: Volumes 1 & 2 (2 Volume Boxed Set),1
148,1517551714,Train,186,"Cookbooks, Food & Wine","Ketogenic Diet BOX SET 2 IN 1:  Learn The Right Way To Lose Fat Fast With 7-Day Keto Kick Start And 30 Amazingly Delicious Ketogenic Snacks: (Lose ... 20 20 diet dr phil , weight watchers)",1
243,763664731,Train,187,Teen & Young Adult,Monstrous Affections: An Anthology of Beastly Tales,0
114,312402090,Train,188,Literature & Fiction,12 Plays: A Portable Anthology,0
205,199797277,Train,189,Politics & Social Sciences,Exploring Philosophy: An Introductory Anthology,0
48,1598534513,Train,190,"Mystery, Thriller & Suspense",Women Crime Writers: Eight Suspense Novels of the 1940s & 50s: A Library of America Boxed Set,1
200,1405154357,Train,191,Politics & Social Sciences,Aesthetics: A Comprehensive Anthology,0
61,1101887486,Train,192,Science Fiction & Fantasy,"Outlander 4-Copy Boxed Set: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn",0
30,804124558,Train,193,Test Preparation,Math and Science Prep for the SAT & ACT: 2 Books in 1 (College Test Preparation),0
107,393921522,Train,194,Literature & Fiction,The Norton Anthology of Drama (Second Edition)  (Vol. 2),0
144,B0158VQY46,Train,195,"Cookbooks, Food & Wine","Preserving Food Box Set: 33 Easy to Follow Steps For Canning, Freezing and Dehydrating Your Favorite Fruits and Vegetables plus The Ultimate Guide to Food ... food without freezing or canning)",1
55,1783294507,Train,196,Science Fiction & Fantasy,Dead Letters Anthology,1
93,1782804366,Train,197,Literature & Fiction,Gloves Off: A Near To The Knuckle Anthology,0
262,1512295671,Train,198,Travel,"RV Camping Guide BOX SET 3 IN 1: 50 Mistakes You Should Avoid + 89 RV Living Hacks And Suprising Secrets. (How to live in a car, travel on a budget, ... how to live in a car, van or RV) (Volume 5)",1
112,1517783712,Train,199,Literature & Fiction,Little Black Book: A Forensics Anthology,0
212,1626161232,Train,200,Reference,"Al-Kitaab Part Two, Third Edition Bundle: Book + DVD + Website Access Card (Al-Kitaab Arabic Language Program) (Arabic Edition)",0
